Abreviacion,Nombre
SYNCB/CCNAPA,Synchrony bank credit card napa
SYNCB/CCTRPR,Synchrony Bank credit cards
SYNCB/CHEV D,Synchrony Bank /  Chevrolet Dual Card
SYNCB/EBAY,Synchrony bank EBAY
SYNCB/GUTR,Synchrony Bank / Guitar Center
SYNCB/HDHIPJ,Synchrony Bank
SYNCB/HDSG,Synchrony bank Home desing credit card
SYNCB/HMDSGN,Synchrony HOME DESIGN
SYNCB/HOME,Synchrony bank Home depot
SYNCB/JC PENNEYS,Synchrony bank JC PENNEYS
SYNCB/JCP,Synchrony Bank - JCPenney Credit Card
SYNCB/JCP DC,Synchrony Bank - JCPenney
SYNCB/LIVI,Synchrony Bank / Living Spaces
SYNCB/LIVSPC,Synchrony Bank - Living Spaces
SYNCB/LOW,Synchrony Bank Low
SYNCB/LOWE,Synchrony Bank/Lowe's® Advantage Card
SYNCB/LOWES,Synchrony Bank/Lowe's® Advantage Card
SYNCB/MATHIS,Synchrony Bank Mathis
SYNCB/PAYP,Synchrony Bank Paypal Credit
SYNCB/PCRI,Synchrony Bank/PayPal Credit
SYNCB/PPC,Synchrony Bank Paypal Credit
SYNCB/QVC,Synchrony Bank QVC
SYNCB/SAMS,Synchrony bank Sam's Club Credit Card
SYNCB/SAMSDC,Synchrony bank Sam's Club Credit Card
SYNCB/SCREDC,Synchrony Bank / Store Credit Red Card-Target Circle Card
SYNCB/SLPNBR,Synchrony Bank / Sleep Number
SYNCB/SONY,Synchrony Bank - Sony
SYNCB/SWED,Synchrony Bank -SwedBank
SYNCB/VENMO,Synchrony bank Venmo
SYNCB/VERIZO,Synchronyc Bank Verizo
SYNOVUSCARDS,Synovus personal credit cards
TAB/SUNBIT,TAB Bank - Sunbit
TANDYMINC,Tandym credit corporation
TARGET/TD,Target - TD Bank
TBOM,The Bank of Missouri
TBOM/ASPIRE,The Bank of Missouri Aspire
TBOM/ASPIRE MC,The Bank of Missouri The Aspire
TBOM/FORTIVA,The Bank of Missouri - Fortiva
TBOM/MILSTN,The bank of Missouri Milestone (CC)
TBOM/MILSTNE,The Bank of Milestone
TBOMMILSTN,The Bank of Milestone
TBOMRETAIL,The Bank Of Missuri - Retail
TBOMTAB,Mission Lane TAB BANK
TCHRS FD,Teachers Federal Credit Union
TCM BK NA,"TCM Bank, National Association"
TD BANK N.A.,TD BANK N.A.
TD BANK USA/TARGETCRED,TD Bank - Target
TD/DUFRESN,Nick Dufresne
TD/RAYMOUR,TD Bank - Raymour & Flanigan
TDBNKNORTH,TD Banknorth
TDRC/RENOVAT,TD Bank Retail Credit / Renovate
TDRCS/AVB,TD Retail Card Services of AVB Adds
TELEPH EMP,Telephone Employees Cooperative
THREE STICKS LENDING,Three Sticks Lending
TMH FEDERAL CU,TMH Federal Credit Union.
TRANSWORLD SYSTEMS,Transworld Systems
TRIUSFCU,Trius Federal Credit Union
TRSTMRK MC,Trustmark Master Card
TRUIST,Truist Bank
TRUIST/GS,Truist Bank
TRUISTBANK,Truist Bank
TSC/CBNA,Tractor Supply Credit Card / CitiBank North America
TX BAY CU,Texas Bay Credit Union
TY,Toyota
UMB CCPROG,United Missouri Bank Commercial Card Program
UMPQUABK,Umpqua Bank
UNIT CON FIN,United Consumer Financial Services
UNITED CFN,United Consumer Financial Services
UNITED CFS,United Consumer Financial Services
UNITEDFED,United Federal Credit Union
UNITY ONE,Unity One | Credit Union
UNITYONE,Unity One | Credit Union
UNIV FCU,University Credit Union
UNIVERSAL1CU,Universal 1 Credit Union
UNIVERSITYCU,University Credit Union
UPGRADE INC,UPGRADE INC
UPGRADEINC,Upgrade Inc
UPLIFTINC,Uplift
UPST/VWCU,Upstart Vantage West Credit Union
UPSTA/FINWSE,UPSTART - FINWISE bank
UPSTART LOANS,UPSTART LOANS
UPSTCUSTBK,Upstream customer bank
US BANK:,U.S. Bank
USAA FSB,USAA Federal Savings Bank
USAA SB,USAA Bank
USAAFSB,USAA federal saving bank
UTILIT ECU,Utilities Employees Credit Union
UVA CR UN,UVA Community Credit Union
WALMART (CAPITAL ONE),WalMart (Capital One)
WEBBANK AVANT,"WebBank / Avant, LLC"
WEBBANK FINGERHUT,WebBank / Fingerhut
WEBBANKAVANT,Web Bank Avant
WEBBNK/FHUT,WebBank - Fingerhut
WELLS FARGO,Wells Fargo
WELLS FARGO CARD SER,WELLS FARGO CARD SERVICE
WELLSFARGO,Wells Fargo
WESBWHDOLR,West Broadway Dollar
WESTLAKE FIN,Westlake Financial
WF,Wells Fargo
WF/BOBS FN,Well Fargos Bank/ Bobs
WF/DILLARD,Wells Fargo / Dillard
WF/DILLARDS,Wells Fargo / Dillard
WF/FMG,Wells Fargo Furniture Marketing Group
WF/HOTELS,Wells fargo hotels Credit card
WF/SLUMBER,Wells Fargo Slumber
WFBNA AUTO,Wells Fargo auto
WFBNA CARD,Wells Fargo Bank
WFBNA HL,Wells Fargo Bank - HL
WFC,World Finance Corporation
WILSCOMCAP,Wilshire Consumer Credits
WINGS CU,WINGS CREDIT UNION
WINGS FCU,WINGS FINANCIAL CREDIT UNION
WINGS FINCL,Wings Financial
"WISETACK,",Wisetack Consumer Financing
WITH U LOANS,WithU Loans
WORTH FINANC,Worth Finance Corp
WRENS FIN,Wrens finance
WRIGHTPATC,Wright-Patt Credit Union
WSECU,Washington State Employees Credit Union
WSECU-VISA,Washington State Employees Credit Union
WSTLAKESVC,Westlake Financial
WSTSHMRK,Western Shamrock
XACT LOANS,Xact Loan
1STNATLCC,First National Credit Card
ALLYCC,Ally Credit Card
AMEX/CBNA,American Express / Citibank North America
BBY/CBNA,Best Buy / Citibank North America
BESTEGG/MS,Best Egg / Marlette Servicing corregir
BK OF AMER,Bank of America
BRCLYOLDNAVY,Barclays Bank Old Navy 
BRCLYSBANKDE,Barclays Bank of Delaware
CAP1/WMT,Capital One/Walmart
CB/CAESRVS,Comenity Bank / Caesars Rewards® Visa®
CB/VICSCRT,Comenity Bank/Victoria's Secret
